,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
25,8.127338314056397,1.5661737387025931,0.005682945251464844,0.0009869939560717916,0.1,"(25,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 35}",0.71125,0.67925,0.70025,0.73275,0.72225,0.70915,0.01847268253394724,93
26,8.34232792854309,1.2440308704916676,0.0054953575134277345,0.0005902912649797727,0.1,"(25,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 40}",0.7255,0.716,0.71125,0.68375,0.68475,0.70425,0.016965405978048412,98
27,3.4012241840362547,0.716762331298603,0.004570960998535156,0.00019443189344373383,0.1,"(25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 2}",0.1305,0.1315,0.1265,0.132,0.1225,0.1286,0.003611094017053561,166
28,5.389257287979126,1.3743641876473571,0.004769659042358399,0.00019976817161124303,0.1,"(25, 25)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 5}",0.39025,0.392,0.40125,0.4515,0.424,0.41180000000000005,0.023206356887715055,150
29,7.364956426620483,2.3304152721446982,0.0047228336334228516,0.0001909553326519023,0.1,"(25, 25)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 10}",0.6555,0.5665,0.65225,0.66725,0.67475,0.64325,0.039217024364426215,128
30,8.559691381454467,1.2955995232017599,0.004927301406860351,0.0002767011129353928,0.1,"(25, 25)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 15}",0.66725,0.683,0.693,0.7065,0.6605,0.68205,0.016745447142432483,115
31,10.064352703094482,2.22634559490708,0.005021286010742187,0.00028978902571301216,0.1,"(25, 25)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 20}",0.746,0.73375,0.70275,0.7085,0.69375,0.71695,0.01968463868096136,85
32,7.971738004684449,0.7380438515419286,0.005259418487548828,0.00035205684047294683,0.1,"(25, 25)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 25}",0.716,0.747,0.73775,0.7095,0.70225,0.7225000000000001,0.017053591996995816,81
33,9.402906370162963,0.9755583970422965,0.005241489410400391,0.00026581148703566903,0.1,"(25, 25)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 30}",0.751,0.7215,0.71175,0.75625,0.69775,0.72765,0.022573546464833567,77
34,10.062424802780152,1.5105453362705858,0.00549626350402832,0.0003070505862436234,0.1,"(25, 25)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 35}",0.74825,0.72225,0.716,0.7285,0.72725,0.7284499999999999,0.010834435841334797,75
35,12.01905436515808,1.624906181774766,0.005651950836181641,0.00028634478306479,0.1,"(25, 25)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 40}",0.7845,0.782,0.746,0.759,0.806,0.7755,0.020957099035887588,48
36,3.477192258834839,1.0868510539527445,0.00751643180847168,0.0001613674574244437,0.1,"(100, 25, 100)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 2}",0.13225,0.1395,0.1295,0.1345,0.132,0.13355,0.0033704599092705466,164
37,13.088921165466308,3.1106122099122215,0.008588266372680665,0.0003467490635654984,0.1,"(100, 25, 100)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 5}",0.587,0.5465,0.5745,0.57025,0.55675,0.567,0.014086340901738822,141
38,14.630554628372192,2.615962973760767,0.008785343170166016,0.000491389508656444,0.1,"(100, 25, 100)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 10}",0.831,0.81675,0.80825,0.78075,0.81775,0.8109,0.01674037036627323,28
39,15.20946831703186,3.717884191341028,0.008578777313232422,0.0002918058355236001,0.1,"(100, 25, 100)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 15}",0.8275,0.8625,0.85575,0.845,0.829,0.8439499999999999,0.013989639023220023,17
40,14.338206768035889,1.4705415077411965,0.00916118621826172,0.0006435205047529459,0.1,"(100, 25, 100)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 20}",0.8455,0.8245,0.847,0.815,0.84525,0.83545,0.013179908952644558,23
41,16.900944471359253,3.2854084719178083,0.009364032745361328,0.0004740816752942944,0.1,"(100, 25, 100)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 25}",0.8865,0.8735,0.83225,0.879,0.883,0.8708500000000001,0.01977852370628301,6
42,14.431506967544555,1.9151596587439252,0.009635639190673829,0.0008980975579165461,0.1,"(100, 25, 100)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 30}",0.85425,0.82525,0.85125,0.86775,0.8745,0.8545999999999999,0.016980577139779438,15
43,17.201453351974486,2.8046992033727296,0.010079669952392577,0.0011500745394798944,0.1,"(100, 25, 100)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 35}",0.8585,0.88725,0.8245,0.86125,0.86175,0.8586500000000001,0.020002874793389063,12
