,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,1.6977916717529298,0.25368106482905517,0.006362628936767578,4.278252499441204e-05,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",0.14525,0.13875,0.1205,0.1325,0.1345,0.1343,0.008166088414902205,160
11,2.832930326461792,0.7069904394158915,0.00842113494873047,0.00010417177552479574,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 10}",0.19025,0.207,0.2035,0.22875,0.21975,0.20985,0.013325351777720545,131
12,3.543147850036621,0.826807969804342,0.010907316207885742,0.000689284013718466,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 15}",0.289,0.27925,0.2575,0.30275,0.2885,0.2834,0.014965460233484301,117
13,4.898522806167603,0.7233433925926253,0.012310934066772462,0.0003176097877833744,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 20}",0.33,0.34175,0.3105,0.3455,0.34075,0.3337,0.012693896170994935,93
14,6.00716381072998,1.904661080452218,0.014072275161743164,0.0002020849490693676,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 25}",0.34175,0.3565,0.3505,0.35225,0.37925,0.35605000000000003,0.01255527777470494,64
15,6.213580656051636,1.0625646767396582,0.01715846061706543,0.000992653346422413,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 30}",0.3405,0.38425,0.35925,0.369,0.374,0.3654,0.014832902615469419,58
16,7.672504711151123,0.45086994006186076,0.018292236328125,0.00047715411142709805,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 35}",0.39,0.431,0.3925,0.39,0.392,0.39909999999999995,0.01598249041920563,28
17,8.135428333282471,1.772316152109465,0.020622968673706055,0.0008632319661125941,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 40}",0.38925,0.4385,0.429,0.425,0.40625,0.4176,0.017629946114495077,19
18,1.5189478397369385,0.6173029381489638,0.004572916030883789,2.138942886816628e-05,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 2}",0.085,0.09,0.081,0.07375,0.0855,0.08305,0.005455272678794344,180
19,1.4671962261199951,0.19267694355968956,0.006182241439819336,0.00020628189300966624,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}",0.14,0.13875,0.1195,0.1465,0.13625,0.13620000000000002,0.009010271915985668,159
20,2.676112937927246,0.9888607698293675,0.007989645004272461,6.501495857564101e-05,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 10}",0.18825,0.21525,0.2085,0.21475,0.2255,0.21044999999999997,0.012366689128461185,128
21,3.6709243297576903,0.848666595906726,0.009883451461791991,0.00013839564156923869,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 15}",0.2915,0.28225,0.263,0.2985,0.2895,0.28495,0.012135073135337906,112
